Player,Rank,IterRank,Delta
Tommy White,-0.7708421756217768,1.7458747112752184,2.516716886896995
Gabriel Martinez,-0.9196359855650796,1.361451724499423,2.2810877100645026
Brock Wilken,-0.884722119208563,1.262736867053988,2.147458986262551
Sam Praytor,-0.9610987910276236,1.1596479032908225,2.120746694318446
David García,-0.9397803379177544,1.1218507314181894,2.061631069335944
Sebastian Walcott,-0.8282160927661506,1.2170165453832686,2.045232638149419
Brian Serven,-0.8732697477554606,1.1325573355354337,2.005827083290894
Jackson Castillo,-0.864769791131283,1.1346065139235209,1.999376305054804
Luis Peña,-0.8722078005443414,1.079341355315961,1.9515491558603024
Willy Vasquez,-0.8038325398435506,1.1471980042967624,1.951030544140313
Hedbert Perez,-0.92929878954597,1.0161447329313515,1.9454435224773214
R.J. Yeager,-0.7406683127550143,1.1786243740995321,1.9192926868545466
Tommy Sacco Jr.,-0.7376467589260497,1.1749349967688167,1.9125817556948665
Stephen Paolini,-0.8981956524011225,0.9830341164368395,1.881229768837962
Joshua Baez,-0.8242990257109529,1.0398897844818158,1.8641888101927688
Jared Sprague-Lott,-0.6849689072762659,1.1703345874341258,1.8553034947103917
Parker Chavers,-0.6830125711743786,1.1705156496508997,1.8535282208252783
Juan Baez,-0.9458141565747776,0.8965670441241036,1.8423812006988811
Misael Urbina,-0.9050319923497426,0.9203818573316501,1.8254138496813928
GJ Hill,-0.9619507594658177,0.8189100959381214,1.780860855403939
Yophery Rodriguez,-0.6163636273289479,1.1547293556385838,1.7710929829675317
Logan Cerny,-0.7554892821752707,0.9900535143849611,1.745542796560232
Dalton Shuffield,-0.7890635268620427,0.9473190203069402,1.7363825471689829
Anthony Scull,-0.7143896214257472,1.0202449185206253,1.7346345399463725
Wade Stauss,-0.5579174772957702,1.1658132618808277,1.723730739176598
Jackson Cluff,-0.9171191779834632,0.7798024708303593,1.6969216488138223
C.J. Stubbs,-0.9021438609761824,0.7798024708303593,1.6819463318065417
Cole Fontenelle,-0.6424751397218978,1.0260662641449967,1.6685414038668944
RJ Schreck,-0.8215398835950752,0.8361562740181797,1.657696157613255
Jesús Made,-0.8704747931288283,0.7797451491635892,1.6502199422924173
Carlos Jimenez,-0.5252982953597576,1.1203302829342752,1.6456285782940328
Émilien Pitre,-0.5701092729641507,1.0689466737956872,1.639055946759838
Hayden Cantrelle,-0.928020605116366,0.7029365531003827,1.6309571582167486
Aidan Smith,-0.7408447179509953,0.88402129566073,1.6248660136117252
Nick Raposo,-0.6114276083779477,0.9847985602726339,1.5962261686505816
Ryan McCarty,-0.535967817651313,1.0434531177852382,1.5794209354365512
Jose Torres,-0.4091856339632008,1.1679438972432619,1.5771295312064626
