ScoreType,Group,Year,N,Spearman,Pearson
frequency,batter,2024,1295,0.08111712333500612,-0.07439747422519338
frequency,pitcher,2024,1372,0.5204288951141283,0.397297685757249
frequency,batter,2024,1295,0.08111712333500612,-0.07439747422519338
frequency,pitcher,2024,1372,0.5204288951141283,0.397297685757249
frequency,batter,2024,1299,0.05826817604796242,-0.09362791982785333
frequency,pitcher,2024,1374,0.5214818168066061,0.39601844540840847
frequency,batter,2024,1299,0.05826817604796242,-0.09362791982785333
frequency,pitcher,2024,1374,0.5214818168066061,0.39601844540840847
frequency,batter,2025,1323,0.015161870466968598,-0.047599729468938576
frequency,pitcher,2025,1419,0.23816301920212993,0.11711535398211945
frequency,batter,2024,1295,0.05392906011929777,-0.09941223575320814
frequency,pitcher,2024,1375,0.5312602940039898,0.3996869913182108
frequency,batter,2024,1295,0.05392906011929777,-0.09941223575320814
frequency,pitcher,2024,1375,0.5312602940039898,0.3996869913182108
frequency,batter,2024,1295,0.05392906011929777,-0.09941223575320814
frequency,pitcher,2024,1375,0.5312602940039898,0.3996869913182108
frequency,batter,2024,1294,nan,nan
frequency,pitcher,2024,1374,nan,nan
