Year,Team,RankScore,WinPct,Rank,WinPctRank
2024,MIL,-42.632799513578156,0.5866666666666667,1,4
2024,NYY,-42.742971570404535,0.6,2,2
2024,ATL,-42.75416142237731,0.5533333333333333,3,9
2024,LAD,-42.76562247145898,0.6258503401360545,4,1
2024,PHI,-42.77132573688965,0.5902777777777778,5,3
2024,SD,-42.78694592315951,0.5578231292517006,6,7
2024,ARI,-42.94264765680775,0.54421768707483,7,10
2024,HOU,-42.955603083103924,0.5570469798657718,8,8
2024,CHC,-42.963346762686456,0.5167785234899329,9,15
2024,NYM,-42.98249549230369,0.5231788079470199,10,14
2024,CLE,-42.98560917879142,0.5657894736842105,11,5
2024,BAL,-43.03717660038644,0.5584415584415584,12,6
2024,KC,-43.05014367297159,0.538961038961039,13,12
2024,SEA,-43.077171585866765,0.5244755244755245,14,13
2024,DET,-43.08403429809684,0.5436241610738255,15,11
2024,STL,-43.11885768294153,0.5231788079470199,16,14
2024,SF,-43.13640952275361,0.4726027397260274,17,19
2024,BOS,-43.16089885939537,0.4934210526315789,18,17
2024,TB,-43.33350234494869,0.4934210526315789,19,17
2024,CIN,-43.349297561095455,0.4840764331210191,20,18
2024,TEX,-43.3568870518317,0.4533333333333333,21,23
2024,MIN,-43.36676454683215,0.5133333333333333,22,16
2024,PIT,-43.40567641433067,0.46,23,22
2024,TOR,-43.474061941859624,0.4697986577181208,24,20
2024,WSH,-43.49744199077866,0.4666666666666667,25,21
2024,LAA,-43.626034754780896,0.3841059602649007,26,25
2024,OAK,-43.71512380135847,0.43448275862068964,27,24
2024,MIA,-43.7997055275717,0.3509933774834437,28,27
2024,COL,-44.24336325367616,0.3581081081081081,29,26
2024,CWS,-44.94924778152606,0.2550335570469799,30,28
